UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT
Apr 17 2021 21:39:33.000 UTC,1618720773.000,2845,34.49500160,-116.95778590,16,3,0,0,-14,0x03,1,11,16,187,3.913
Apr 17 2021 21:39:33.100 UTC,1618720773.100,2845,34.49501430,-116.95778580,16,3,0,0,78,0x03,1,11,16,187,3.913
Apr 17 2021 21:39:33.200 UTC,1618720773.200,2845,34.49501430,-116.95778580,16,3,0,0,-68,0x03,1,12,16,187,3.914
Apr 17 2021 21:39:32.300 UTC,1618720772.300,2845,34.49501410,-116.95778610,16,3,0,0,73,0x03,1,11,16,187,3.913
Apr 17 2021 21:39:32.400 UTC,1618720772.400,2845,34.49501410,-116.95778610,16,3,0,0,-28,0x03,1,11,16,187,3.913
Apr 17 2021 21:39:32.500 UTC,1618720772.500,2845,34.49501410,-116.95778600,16,3,0,0,-2,0x03,1,11,16,187,3.913
Apr 17 2021 21:39:32.600 UTC,1618720772.600,2845,34.49501420,-116.95778600,16,3,0,0,72,0x03,1,11,16,187,3.913
Apr 17 2021 21:39:32.700 UTC,1618720772.700,2845,34.49501420,-116.95778600,16,3,0,0,7,0x03,1,11,16,187,3.913
Apr 17 2021 21:39:32.800 UTC,1618720772.800,2845,34.49501420,-116.95778600,16,3,0,0,18,0x03,1,11,16,187,3.913
Apr 17 2021 21:39:32.900 UTC,1618720772.900,2845,34.49501420,-116.95778590,16,3,0,0,-51,0x03,1,11,16,187,3.913
Apr 17 2021 21:39:34.100 UTC,1618720774.100,2845,34.49501440,-116.95778580,16,3,0,0,54,0x03,1,12,15,187,3.914
Apr 17 2021 21:39:34.200 UTC,1618720774.200,2845,34.49501440,-116.95778580,16,3,0,0,-136,0x03,1,12,15,187,3.914
Apr 17 2021 21:39:33.300 UTC,1618720773.300,2845,34.49501430,-116.95778590,16,3,0,0,57,0x03,1,12,16,187,3.914
Apr 17 2021 21:39:33.400 UTC,1618720773.400,2845,34.49501440,-116.95778580,16,3,0,0,111,0x03,1,11,16,187,3.914
Apr 17 2021 21:39:33.500 UTC,1618720773.500,2845,34.49501440,-116.95778580,16,3,0,0,-122,0x03,1,12,16,187,3.914
Apr 17 2021 21:39:33.600 UTC,1618720773.600,2845,34.49501440,-116.95778590,16,3,0,0,20,0x03,1,12,15,187,3.914
Apr 17 2021 21:39:33.700 UTC,1618720773.700,2845,34.49501440,-116.95778580,16,3,0,0,61,0x03,1,12,16,187,3.914
Apr 17 2021 21:39:33.800 UTC,1618720773.800,2845,34.49501440,-116.95778580,16,3,0,0,-152,0x03,1,12,16,187,3.914
Apr 17 2021 21:39:33.900 UTC,1618720773.900,2845,34.49501440,-116.95778580,16,3,0,0,-88,0x03,1,12,16,187,3.914
Apr 17 2021 21:39:34.000 UTC,1618720774.000,2845,34.49501440,-116.95778580,16,3,0,0,13,0x03,1,12,15,187,3.914
Apr 17 2021 21:39:34.100 UTC,1618720774.100,2845,34.49501440,-116.95778580,16,3,0,0,54,0x03,1,12,15,187,3.914
Apr 17 2021 21:39:34.200 UTC,1618720774.200,2845,34.49501440,-116.95778580,16,3,0,0,-136,0x03,1,12,15,187,3.914
Apr 17 2021 21:39:34.300 UTC,1618720774.300,2845,34.49501440,-116.95778580,16,3,0,0,57,0x03,1,13,15,187,3.914
Apr 17 2021 21:39:34.300 UTC,1618720774.300,2845,34.49501440,-116.95778580,16,3,0,0,57,0x03,1,13,15,187,3.914
Apr 17 2021 21:39:34.400 UTC,1618720774.400,2845,34.49501450,-116.95778580,16,3,0,0,15,0x03,1,12,15,187,3.914
Apr 17 2021 21:39:34.500 UTC,1618720774.500,2845,34.49501450,-116.95778580,16,3,0,0,160,0x03,1,13,15,187,3.914
Apr 17 2021 21:39:34.600 UTC,1618720774.600,2845,34.49501450,-116.95778580,16,3,0,0,0,0x03,1,12,15,187,3.914
Apr 17 2021 21:39:34.700 UTC,1618720774.700,2845,34.49501460,-116.95778580,16,3,0,0,-24,0x03,1,12,15,187,3.914
Apr 17 2021 21:39:34.800 UTC,1618720774.800,2845,34.49501460,-116.95778590,15,3,1,3,-107,0x03,1,13,14,189,3.914
Apr 17 2021 21:39:34.900 UTC,1618720774.900,2845,34.49501480,-116.95778610,16,3,2,1,22,0x03,0,5,15,189,3.914
Apr 17 2021 21:39:35.000 UTC,1618720775.000,2846,34.49501640,-116.95778530,16,3,10,9,26,0x03,0,3,12,189,3.914
Apr 17 2021 21:39:35.100 UTC,1618720775.100,2847,34.49502010,-116.95778420,16,3,15,18,16,0x03,0,1,10,189,3.914
Apr 17 2021 21:39:35.200 UTC,1618720775.200,2848,34.49502130,-116.95778240,16,3,7,23,81,0x03,0,1,11,189,3.912
Apr 17 2021 21:39:35.300 UTC,1618720775.300,2850,34.49502000,-116.95777860,16,3,15,26,111,0x03,0,1,7,189,3.912
Apr 17 2021 21:39:35.400 UTC,1618720775.400,2852,34.49501750,-116.95777790,16,3,10,28,165,0x03,0,1,6,189,3.912
Apr 17 2021 21:39:35.500 UTC,1618720775.500,2854,34.49501110,-116.95777740,16,3,25,31,168,0x03,0,1,6,189,3.912
Apr 17 2021 21:39:35.600 UTC,1618720775.600,2856,34.49500100,-116.95777900,16,3,39,24,-175,0x03,0,1,4,189,3.912
Apr 17 2021 21:39:35.700 UTC,1618720775.700,2856,34.49498380,-116.95777600,15,3,68,17,168,0x03,0,1,4,189,3.912
Apr 17 2021 21:39:35.800 UTC,1618720775.800,2855,34.49496460,-116.95777190,15,3,73,-1,168,0x03,0,2,4,172,3.912
Apr 17 2021 21:39:35.900 UTC,1618720775.900,2857,34.49494070,-116.95776820,15,3,87,13,174,0x03,0,3,4,172,3.912
Apr 17 2021 21:39:36.000 UTC,1618720776.000,2864,34.49491050,-116.95776180,13,3,107,63,170,0x03,0,3,3,172,3.912
Apr 17 2021 21:39:36.100 UTC,1618720776.100,2868,34.49488140,-116.95774940,13,3,113,39,157,0x03,0,2,3,172,3.912
Apr 17 2021 21:39:36.200 UTC,1618720776.200,2867,34.49485130,-116.95772530,13,3,139,12,144,0x03,0,4,5,172,3.912
Apr 17 2021 21:39:36.300 UTC,1618720776.300,2868,34.49481740,-116.95769380,13,3,154,10,141,0x03,1,5,5,172,3.912
Apr 17 2021 21:39:36.400 UTC,1618720776.400,2873,34.49477530,-116.95765560,11,3,183,33,141,0x03,1,5,5,172,3.912
Apr 17 2021 21:39:36.500 UTC,1618720776.500,2880,34.49473110,-116.95761420,11,3,197,52,140,0x03,0,4,5,172,3.912
Apr 17 2021 21:39:36.600 UTC,1618720776.600,2894,34.49467450,-116.95756890,9,3,229,103,144,0x03,0,3,5,172,3.912
Apr 17 2021 21:39:36.700 UTC,1618720776.700,2916,34.49460580,-116.95751890,9,3,265,164,146,0x03,0,4,5,172,3.912
Apr 17 2021 21:39:37.000 UTC,1618720777.000,3055,34.49442740,-116.95733580,8,3,261,534,129,0x03,1,4,5,162,3.912
Apr 17 2021 21:39:37.100 UTC,1618720777.100,3145,34.49438910,-116.95725740,7,3,258,688,119,0x03,2,4,5,162,3.912
Apr 17 2021 21:39:37.300 UTC,1618720777.300,3338,34.49438390,-116.95709950,8,3,230,888,92,0x03,0,3,6,162,3.913
Apr 17 2021 21:39:37.400 UTC,1618720777.400,3436,34.49438720,-116.95702000,8,3,233,929,88,0x03,0,5,6,162,3.913
Apr 17 2021 21:39:37.500 UTC,1618720777.500,3534,34.49439180,-116.95693900,8,3,233,949,86,0x03,0,4,6,162,3.913
Apr 17 2021 21:39:37.600 UTC,1618720777.600,3630,34.49439980,-116.95685670,8,3,233,946,82,0x03,0,5,6,162,3.913
Apr 17 2021 21:39:37.700 UTC,1618720777.700,3727,34.49441540,-116.95677670,8,3,235,943,76,0x03,1,6,7,162,3.913
Apr 17 2021 21:39:37.800 UTC,1618720777.800,3823,34.49443650,-116.95669960,8,3,233,932,71,0x03,2,6,7,156,3.913
Apr 17 2021 21:39:37.900 UTC,1618720777.900,3917,34.49445060,-116.95662720,7,3,213,916,73,0x03,2,4,6,156,3.913
Apr 17 2021 21:39:38.000 UTC,1618720778.000,4009,34.49446350,-116.95655780,7,3,211,902,75,0x03,0,4,6,156,3.913
Apr 17 2021 21:39:38.100 UTC,1618720778.100,4103,34.49450390,-116.95649150,8,3,237,907,58,0x03,1,4,7,156,3.913
Apr 17 2021 21:39:38.200 UTC,1618720778.200,4194,34.49456060,-116.95642510,7,3,272,889,47,0x03,0,4,7,156,3.913
Apr 17 2021 21:39:38.300 UTC,1618720778.300,4286,34.49462000,-116.95635750,7,3,287,875,44,0x03,0,4,7,156,3.913
Apr 17 2021 21:39:38.400 UTC,1618720778.400,4372,34.49465300,-116.95628680,7,3,246,862,56,0x03,0,4,6,156,3.913
Apr 17 2021 21:39:38.500 UTC,1618720778.500,4458,34.49468440,-116.95621630,7,3,234,852,61,0x03,0,4,6,156,3.913
Apr 17 2021 21:39:38.600 UTC,1618720778.600,4544,34.49474280,-116.95614990,7,3,267,845,47,0x03,0,7,7,156,3.913
Apr 17 2021 21:39:38.700 UTC,1618720778.700,4632,34.49478500,-116.95608310,7,3,251,830,50,0x03,1,6,6,156,3.913
Apr 17 2021 21:39:38.800 UTC,1618720778.800,4715,34.49481050,-116.95601690,6,3,217,817,62,0x03,0,4,5,156,3.913
Apr 17 2021 21:39:38.900 UTC,1618720778.900,4801,34.49485560,-116.95595200,7,3,244,811,51,0x03,0,5,7,156,3.913
Apr 17 2021 21:39:39.000 UTC,1618720779.000,4885,34.49491250,-116.95588840,7,3,265,815,45,0x03,0,4,7,156,3.913
Apr 17 2021 21:39:39.100 UTC,1618720779.100,4968,34.49497180,-116.95582520,7,3,274,810,43,0x03,0,3,7,156,3.913
Apr 17 2021 21:39:39.200 UTC,1618720779.200,5052,34.49503640,-116.95576130,10,3,278,800,41,0x03,2,7,10,156,3.911
Apr 17 2021 21:39:39.300 UTC,1618720779.300,5136,34.49510500,-116.95569730,10,3,277,789,41,0x03,2,7,9,156,3.911
Apr 17 2021 21:39:39.400 UTC,1618720779.400,5220,34.49518140,-116.95563440,10,3,274,778,41,0x03,1,8,10,156,3.911
Apr 17 2021 21:39:39.500 UTC,1618720779.500,5304,34.49526090,-116.95557430,10,3,272,767,41,0x03,1,9,10,156,3.911
Apr 17 2021 21:39:39.600 UTC,1618720779.600,5387,34.49533290,-116.95551570,9,3,271,759,41,0x03,1,8,9,156,3.911
Apr 17 2021 21:39:39.700 UTC,1618720779.700,5467,34.49540710,-116.95545820,7,3,268,750,41,0x03,1,5,7,156,3.911
Apr 17 2021 21:39:39.800 UTC,1618720779.800,5548,34.49549190,-116.95540200,7,3,266,742,41,0x03,1,5,7,154,3.911
Apr 17 2021 21:39:39.900 UTC,1618720779.900,5627,34.49559130,-116.95534770,7,3,264,736,41,0x03,1,5,7,154,3.911
Apr 17 2021 21:39:40.000 UTC,1618720780.000,5711,34.49571900,-116.95529480,10,3,263,733,42,0x03,1,4,10,154,3.911
Apr 17 2021 21:39:40.100 UTC,1618720780.100,5792,34.49585540,-116.95524340,9,3,261,723,41,0x03,0,4,8,154,3.911
Apr 17 2021 21:39:40.200 UTC,1618720780.200,5871,34.49598600,-116.95518750,7,3,259,710,41,0x03,1,6,7,154,3.911
Apr 17 2021 21:39:40.300 UTC,1618720780.300,5948,34.49610400,-116.95512570,7,3,257,702,41,0x03,1,5,7,154,3.911
Apr 17 2021 21:39:40.400 UTC,1618720780.400,6026,34.49623110,-116.95506580,7,3,255,695,41,0x03,1,5,7,154,3.911
Apr 17 2021 21:39:40.500 UTC,1618720780.500,6105,34.49636570,-116.95501610,7,3,253,686,41,0x03,2,7,7,154,3.911
Apr 17 2021 21:39:40.600 UTC,1618720780.600,6185,34.49647240,-116.95497580,8,3,252,679,41,0x03,1,7,8,154,3.911
Apr 17 2021 21:39:40.700 UTC,1618720780.700,6256,34.49652820,-116.95491660,7,3,251,673,41,0x03,1,6,7,154,3.911
Apr 17 2021 21:39:40.800 UTC,1618720780.800,6326,34.49658310,-116.95485800,7,3,250,664,41,0x03,2,4,7,154,3.911
Apr 17 2021 21:39:41.600 UTC,1618720781.600,6891,34.49716420,-116.95438290,9,3,238,613,42,0x03,3,9,9,154,3.913
Apr 17 2021 21:39:41.700 UTC,1618720781.700,7003,34.49735820,-116.95444590,10,3,236,604,41,0x03,3,8,10,154,3.913
Apr 17 2021 21:39:41.800 UTC,1618720781.800,7112,34.49755980,-116.95451110,11,3,234,597,41,0x03,2,8,11,154,3.913
Apr 17 2021 21:39:41.900 UTC,1618720781.900,7213,34.49773500,-116.95454210,11,3,233,590,41,0x03,3,8,11,154,3.913
Apr 17 2021 21:39:42.000 UTC,1618720782.000,7307,34.49787300,-116.95453270,11,3,232,584,41,0x03,3,6,11,154,3.913
Apr 17 2021 21:39:42.100 UTC,1618720782.100,7384,34.49799510,-116.95449990,10,3,231,579,41,0x03,2,7,10,154,3.913
Apr 17 2021 21:53:49.200 UTC,1618721629.200,2813,34.50071470,-116.94851070,12,3,0,0,46,0x01,0,5,10,154,3.913
Apr 17 2021 21:39:42.300 UTC,1618720782.300,7538,34.49832790,-116.95429760,11,3,229,567,41,0x03,2,6,11,154,3.913
Apr 17 2021 21:39:42.400 UTC,1618720782.400,7613,34.49846160,-116.95419410,11,3,227,559,41,0x03,1,7,11,154,3.913
Apr 17 2021 21:39:42.500 UTC,1618720782.500,7692,34.49857470,-116.95408400,11,3,226,554,41,0x03,1,9,11,154,3.913
Apr 17 2021 21:39:42.600 UTC,1618720782.600,7774,34.49867880,-116.95399960,9,3,225,548,42,0x03,2,8,9,154,3.913
Apr 17 2021 21:39:42.700 UTC,1618720782.700,7871,34.49877820,-116.95394050,10,3,223,542,42,0x03,2,9,10,154,3.913
Apr 17 2021 21:39:42.800 UTC,1618720782.800,7970,34.49884020,-116.95390300,10,3,222,536,42,0x03,1,9,10,147,3.913
Apr 17 2021 21:39:42.900 UTC,1618720782.900,8061,34.49889480,-116.95387120,12,3,221,531,41,0x03,4,11,12,147,3.913
Apr 17 2021 21:39:43.000 UTC,1618720783.000,8151,34.49894430,-116.95383550,12,3,220,525,41,0x03,3,10,12,147,3.913
Apr 17 2021 21:39:43.100 UTC,1618720783.100,8233,34.49898340,-116.95378640,12,3,219,519,41,0x03,3,10,12,147,3.913
Apr 17 2021 21:39:43.200 UTC,1618720783.200,8310,34.49902000,-116.95372720,13,3,217,513,41,0x03,4,10,13,147,3.911
Apr 17 2021 21:39:43.300 UTC,1618720783.300,8385,34.49905930,-116.95366610,13,3,216,508,41,0x03,4,10,13,147,3.911
Apr 17 2021 21:39:43.400 UTC,1618720783.400,8447,34.49911130,-116.95360500,12,3,215,502,41,0x03,3,9,12,147,3.911
Apr 17 2021 21:39:43.500 UTC,1618720783.500,8508,34.49916660,-116.95354260,12,3,214,497,41,0x03,3,9,12,147,3.911
Apr 17 2021 21:39:43.600 UTC,1618720783.600,8568,34.49922480,-116.95347790,12,3,213,491,41,0x03,3,7,12,147,3.911
Apr 17 2021 21:39:43.700 UTC,1618720783.700,8631,34.49928770,-116.95340470,13,3,212,486,41,0x03,3,7,13,147,3.911
Apr 17 2021 21:39:43.800 UTC,1618720783.800,8696,34.49935160,-116.95333000,13,3,212,480,41,0x03,2,10,13,155,3.911
Apr 17 2021 21:39:43.900 UTC,1618720783.900,8758,34.49941330,-116.95326080,13,3,211,475,41,0x03,2,11,13,155,3.911
Apr 17 2021 21:39:44.000 UTC,1618720784.000,8822,34.49947460,-116.95319550,14,3,210,470,42,0x03,2,11,14,155,3.911
Apr 17 2021 21:39:44.100 UTC,1618720784.100,8890,34.49953850,-116.95313740,13,3,208,465,41,0x03,2,11,13,155,3.911
Apr 17 2021 21:39:44.200 UTC,1618720784.200,8956,34.49958840,-116.95308710,14,3,208,460,42,0x03,2,12,14,155,3.911
Apr 17 2021 21:39:44.300 UTC,1618720784.300,9018,34.49963940,-116.95303760,14,3,207,454,41,0x03,3,14,14,155,3.911
Apr 17 2021 21:39:44.400 UTC,1618720784.400,9083,34.49968800,-116.95298390,14,3,206,450,41,0x03,4,14,14,155,3.911
Apr 17 2021 21:39:44.500 UTC,1618720784.500,9150,34.49973240,-116.95292380,14,3,205,445,42,0x03,4,12,14,155,3.911
Apr 17 2021 21:39:44.600 UTC,1618720784.600,9207,34.49977320,-116.95286640,14,3,204,439,41,0x03,4,12,13,155,3.911
Apr 17 2021 21:39:44.700 UTC,1618720784.700,9262,34.49981260,-116.95280770,13,3,203,435,41,0x03,5,11,12,155,3.911
Apr 17 2021 21:39:44.800 UTC,1618720784.800,9313,34.49985320,-116.95275220,13,3,202,430,41,0x03,5,9,13,152,3.911
Apr 17 2021 21:39:44.900 UTC,1618720784.900,9362,34.49989740,-116.95269670,14,3,201,424,41,0x03,4,10,14,152,3.911
Apr 17 2021 21:39:45.000 UTC,1618720785.000,9409,34.49994180,-116.95264170,14,3,200,420,41,0x03,4,10,14,152,3.911
Apr 17 2021 21:39:45.100 UTC,1618720785.100,9457,34.49998630,-116.95258650,15,3,200,415,41,0x03,3,10,15,152,3.911
Apr 17 2021 21:39:45.200 UTC,1618720785.200,9504,34.50003080,-116.95253210,14,3,199,410,41,0x03,3,8,14,152,3.912
Apr 17 2021 21:39:45.300 UTC,1618720785.300,9550,34.50007520,-116.95247800,15,3,198,406,41,0x03,3,8,15,152,3.912
Apr 17 2021 21:39:45.400 UTC,1618720785.400,9597,34.50012150,-116.95242520,15,3,198,401,42,0x03,1,12,15,152,3.912
Apr 17 2021 21:39:45.500 UTC,1618720785.500,9642,34.50016750,-116.95237400,13,3,197,396,42,0x03,2,13,13,152,3.912
Apr 17 2021 21:39:45.600 UTC,1618720785.600,9688,34.50021370,-116.95232340,13,3,196,392,42,0x03,2,12,13,152,3.912
Apr 17 2021 21:39:45.700 UTC,1618720785.700,9736,34.50026260,-116.95227400,13,3,195,387,42,0x03,3,12,13,152,3.912
Apr 17 2021 21:39:45.800 UTC,1618720785.800,9783,34.50030830,-116.95222800,13,3,194,382,42,0x03,3,12,13,148,3.912
Apr 17 2021 21:39:45.900 UTC,1618720785.900,9831,34.50035360,-116.95218080,14,3,194,378,42,0x03,4,13,14,148,3.912
Apr 17 2021 21:39:46.000 UTC,1618720786.000,9877,34.50039840,-116.95213340,14,3,193,373,42,0x03,5,14,14,148,3.912
Apr 17 2021 21:39:46.100 UTC,1618720786.100,9924,34.50044170,-116.95208530,13,3,192,369,42,0x03,5,12,13,148,3.912
Apr 17 2021 21:39:46.200 UTC,1618720786.200,9970,34.50048420,-116.95203510,14,3,191,364,42,0x03,4,12,14,148,3.912
Apr 17 2021 21:39:46.300 UTC,1618720786.300,10014,34.50052410,-116.95198270,14,3,191,360,42,0x03,4,12,14,148,3.912
Apr 17 2021 21:39:46.400 UTC,1618720786.400,10057,34.50056280,-116.95193030,14,3,190,355,41,0x03,4,11,14,148,3.912
Apr 17 2021 21:39:46.500 UTC,1618720786.500,10098,34.50060140,-116.95187970,14,3,190,351,42,0x03,6,10,14,148,3.912
Apr 17 2021 21:39:46.600 UTC,1618720786.600,10138,34.50064080,-116.95182940,14,3,189,346,41,0x03,5,10,14,148,3.912
Apr 17 2021 21:39:46.700 UTC,1618720786.700,10176,34.50068150,-116.95178070,15,3,188,342,42,0x03,4,12,15,148,3.912
Apr 17 2021 21:39:46.800 UTC,1618720786.800,10214,34.50072210,-116.95173210,15,3,188,338,42,0x03,3,10,15,148,3.912
Apr 17 2021 21:39:46.900 UTC,1618720786.900,10250,34.50076200,-116.95168550,15,3,187,333,42,0x03,3,9,15,148,3.912
Apr 17 2021 21:39:47.000 UTC,1618720787.000,10286,34.50080170,-116.95163920,15,3,186,329,42,0x03,3,10,15,148,3.912
Apr 17 2021 21:39:47.100 UTC,1618720787.100,10322,34.50084180,-116.95159220,15,3,186,325,42,0x03,2,9,15,148,3.912
Apr 17 2021 21:39:47.200 UTC,1618720787.200,10357,34.50088180,-116.95154640,14,3,185,321,42,0x03,2,11,14,148,3.911
Apr 17 2021 21:39:47.300 UTC,1618720787.300,10391,34.50092200,-116.95150180,14,3,185,316,42,0x03,2,12,14,148,3.911
Apr 17 2021 21:39:47.400 UTC,1618720787.400,10425,34.50096220,-116.95145750,14,3,184,312,42,0x03,2,13,14,148,3.911
Apr 17 2021 21:39:47.500 UTC,1618720787.500,10460,34.50100340,-116.95141320,14,3,184,308,42,0x03,2,12,14,148,3.911
Apr 17 2021 21:39:47.600 UTC,1618720787.600,10494,34.50104450,-116.95136950,14,3,183,304,42,0x03,3,12,14,148,3.911
Apr 17 2021 21:39:47.700 UTC,1618720787.700,10530,34.50108620,-116.95132530,15,3,182,300,42,0x03,4,13,15,148,3.911
Apr 17 2021 21:39:47.800 UTC,1618720787.800,10565,34.50112740,-116.95128180,15,3,182,296,42,0x03,3,14,15,148,3.911
