t_s,alt_m
0.04375,0.41724072
0.09375,0.41724072
0.14375,0.41724072
0.19375,0.41724072
0.24375,0.781869912
0.295,2.245668864
0.345,3.7068556800000003
0.395,5.53535088
0.445,8.095731840000001
0.495,11.0233968
0.545,14.68562976
0.595,19.811634240000004
0.645,26.039551680000002
0.695,33.3719424
0.745,40.344852
0.795,46.9532208
0.845,50.2587768
0.895,55.403496000000004
0.945,60.9179376
0.995,66.8048448
1.045,73.0617792
1.095,79.3242
1.145,85.9563432
1.195,92.59610640000001
1.245,99.9762288
1.295,107.7312552
1.345,115.4945112
1.395,123.25990080000001
1.445,130.6637976
1.495,138.81536880000002
1.545,148.8243912
1.595,158.8437768
1.645,171.10679520000002
1.695,185.61558000000002
1.745,200.1457008
1.795,216.1894584
1.845,233.3801784
1.895,250.6001592
1.945,267.1011168
1.995,283.2509448
2.045,299.4269856
2.095,324.3072
2.145,351.513648
2.195,375.385584
2.245,396.267432
2.295,416.814
2.345,438.16524
2.395,460.327248
2.445,485.60431200000005
2.495,507.485904
2.545,524.4114480000001
2.595,538.663896
2.645,551.776392
2.695,557.957736
2.745,564.9102240000001
2.795,573.0300960000001
2.845,581.930256
2.895,591.226656
2.945,600.919296
2.995,611.785416
3.045,622.663728
3.095,634.721616
3.145,647.1818400000001
3.195,659.26716
3.245,671.7609120000001
3.295,683.876712
3.345,696.4009440000001
3.395,708.937368
3.445,721.8822240000001
3.495,734.058984
3.545,747.433608
3.595,760.4272320000001
3.645,772.25652
3.695,784.497288
3.745,796.750248
3.795,809.8109280000001
3.845,821.3018880000001
3.895,833.59752
3.945,845.5152
3.995,857.841312
4.045,869.7864240000001
4.095,882.146064
4.145,894.1186080000001
4.195,906.50568
4.245,918.1094160000001
4.295,930.12768
4.345,942.1581360000001
4.395,954.2038320000001
4.445,965.8624320000001
4.495,977.5332240000001
4.545,989.219256
4.595,1000.5151440000001
4.645,1011.8201760000001
4.695,1023.54888
4.745,1034.884392
4.795,1046.2290480000001
4.845,1057.994328
4.895,1069.774848
4.945,1081.570608
4.995,1093.37856
5.045,1105.607136
5.095,1117.034088
5.145,1128.47628
5.195,1139.519184
5.245,1150.988808
5.295,1162.059144
5.345,1173.141672
5.395,1183.824912
5.445,1194.931824
5.495,1206.050928
5.545,1216.3562160000001
5.595,1227.085176
5.645,1237.8293760000001
5.695,1248.579672
5.745,1258.933728
5.795,1269.708408
5.845,1280.0838
5.895,1290.465288
5.945,1300.862016
5.995,1311.267888
6.045,1321.265328
6.095,1331.278008
6.145,1341.2967840000001
6.195,1351.745328
6.245,1361.78544
6.295,1371.41712
6.345,1381.057944
6.395,1390.7079119999999
6.445,1400.7876480000002
6.495,1410.879576
6.545,1420.556976
6.595,1429.825944
6.645,1439.101008
6.695,1448.3852160000001
6.745,1458.525912
6.795,1467.8314560000001
6.845,1476.7194240000001
6.895,1485.616536
6.945,1494.943416
6.995,1504.2824880000003
7.045,1513.630704
7.095,1522.5582960000002
7.145,1531.4980800000003
7.195,1540.44396
7.245,1549.3989840000002
7.295,1558.3601039999999
7.345,1566.9036480000002
7.395,1576.309776
7.445,1585.2952800000003
7.495,1593.4334400000002
7.545,1602.010512
7.595,1610.1608640000002
7.645,1619.1798960000003
7.695,1627.7752560000001
7.745,1636.37976
7.795,1644.99036
7.845,1653.6101039999999
7.895,1661.803128
7.945,1670.438112
7.995,1678.6463760000001
8.045,1686.8637840000001
8.095,1695.0872880000002
8.145,1703.3138400000003
8.195,1711.119768
8.245,1718.928744
8.295,1727.1766320000002
8.345,1735.4336640000001
8.395,1743.6967920000002
8.445,1751.966016
8.495,1759.3726560000002
8.545,1767.2212560000003
8.595,1774.63704
8.645,1782.9336960000003
8.695,1790.36472
8.745,1798.237704
8.795,1805.6778720000002
8.845,1813.124136
8.895,1821.0154080000002
8.945,1828.4738640000003
8.995,1835.9353680000002
9.045,1843.4060160000001
9.095,1851.3216720000003
9.145,1858.3656
9.195,1866.2904
9.245,1873.782384
9.295,1880.838504
9.345,1887.9037680000001
9.395,1894.9690320000002
9.445,1902.0434400000001
9.495,1908.678936
9.545,1915.75944
9.595,1922.8490880000002
9.645,1929.941784
9.695,1937.037528
9.745,1944.587424
9.795,1951.69536
9.845,1958.364384
9.895,1965.039504
9.945,1971.7146240000002
9.995,1978.3988880000002
10.045,1985.0862000000002
10.095,1991.779608
10.145,1998.028008
10.195,2004.727512
10.245,2011.43616
10.295,2018.144808
10.345,2024.8565039999999
10.395,2031.1292880000003
10.445,2037.40512
10.495,2043.6840000000002
10.545,2049.968976
10.595,2056.7050560000002
10.645,2062.996128
10.695,2069.2932960000003
10.745,2075.13936
10.795,2081.4456720000003
10.845,2087.303928
10.895,2093.613288
10.945,2099.9317920000003
10.995,2105.799192
11.045,2111.66964
11.095,2117.5431360000002
11.145,2123.873832
11.195,2130.2106240000003
11.245,2135.645208
11.295,2141.5369920000003
11.345,2146.974624
11.395,2152.418352
11.445,2158.316232
11.495,2164.220208
11.545,2170.1272320000003
11.595,2175.5862
11.645,2181.045168
11.695,2186.504136
11.745,2191.9692
11.795,2197.44036
11.845,2202.91152
11.895,2208.38268
11.945,2213.859936
11.995,2219.343288
12.045,2224.82664
12.095,2229.85584
12.145,2235.3452880000004
12.195,2240.380584
12.245,2245.418928
12.295,2250.91752
12.345,2255.958912
12.395,2261.0064
12.445,2266.0538880000004
12.495,2271.104424
12.545,2276.1580080000003
12.595,2281.211592
12.645,2286.27432
12.695,2291.3340000000003
12.745,2296.399776
12.795,2301.462504
12.845,2306.074128
12.895,2310.685752
12.945,2315.297376
12.995,2319.912048
13.045,2324.990016
13.095,2329.610784
13.145,2334.2346000000002
13.195,2338.858416
13.245,2343.4822320000003
13.295,2347.6488480000003
13.345,2352.27876
13.395,2356.91172
13.445,2361.547728
13.495,2365.717392
13.545,2370.359496
13.595,2374.535256
13.645,2378.717112
13.695,2382.89592
13.745,2387.5410720000004
13.795,2391.725976
13.845,2396.3802720000003
13.895,2400.568224
13.945,2404.2928800000004
13.995,2408.48388
14.045,2412.677928
14.095,2416.405632
14.145,2420.605776
14.195,2424.802872
14.245,2428.536672
14.295,2432.736816
14.345,2436.943056
14.395,2440.679904
14.445,2444.422848
14.495,2448.162744
14.545,2451.908736
14.595,2455.6516800000004
14.645,2459.394624
14.695,2463.146712
14.745,2467.3620960000003
14.795,2471.111136
14.845,2474.3968800000002
14.895,2478.148968
14.945,2481.431664
14.995,2485.189848
15.045,2488.0062000000003
15.095,2491.294992
15.145,2495.0562240000004
15.195,2498.345016
15.245,2502.109296
15.295,2505.404184
15.345,2508.696024
15.395,2511.9939600000002
15.445,2515.761288
15.495,2518.586784
15.545,2522.3571600000005
15.595,2525.185704
15.645,2528.486688
15.695,2531.3182800000004
15.745,2534.6223120000004
15.795,2537.453904
15.845,2540.760984
15.895,2543.5925760000005
15.945,2546.899656
15.995,2549.7403920000006
16.045,2553.0474719999997
16.095,2555.8851600000003
16.145,2558.7258960000004
16.195,2561.563584
16.245,2564.40432
16.295,2567.2450559999997
16.345,2570.0857920000003
16.395,2572.9295760000005
16.445,2575.77336
16.495,2578.6171440000003
16.545,2580.988488
16.595,2583.83532
16.645,2586.2066640000003
16.695,2589.0565440000005
16.745,2591.427888
16.795,2594.277768
16.845,2596.6521600000005
16.895,2599.0296000000003
16.945,2601.40704
16.995,2604.25692
17.045,2606.6343600000005
17.095,2609.0118
17.145,2611.392288
17.195,2613.769728
17.245,2616.150216
17.295,2618.530704
17.345,2620.435704
17.395,2622.8161920000002
17.445,2624.7211920000004
17.495,2627.1047280000003
17.545,2629.0097280000005
17.595,2631.3932640000003
17.645,2633.3013120000005
17.695,2635.6878960000004
17.745,2637.595944
17.795,2639.5039920000004
17.845,2641.4089920000006
17.895,2643.320088
17.945,2645.231184
17.995,2647.14228
18.045,2649.0533760000003
18.095,2650.961424
18.145,2652.87252
18.195,2654.786664
18.245,2656.6947120000004
18.295,2658.13032
18.345,2660.044464
18.395,2661.958608
18.445,2663.869704
18.495,2665.3053120000004
18.545,2667.216408
18.595,2668.655064
18.645,2670.090672
18.695,2672.004816
18.745,2673.443472
18.795,2674.87908
18.845,2676.314688
18.895,2677.753344
18.945,2679.188952
18.995,2680.627608
19.045,2682.066264
19.095,2683.50492
19.145,2684.4619920000005
19.195,2685.9006480000003
19.245,2687.339304
19.295,2688.7779600000003
19.345,2689.73808
19.395,2691.176736
19.445,2692.136856
19.495,2693.5755120000003
19.545,2694.535632
19.595,2695.4957520000003
19.645,2696.934408
19.695,2697.8945280000003
19.745,2698.8576960000005
19.795,2700.296352
19.845,2701.256472
19.895,2702.216592
19.945,2703.1797600000004
19.995,2704.13988
20.045,2705.1
20.095,2705.581584
20.145,2706.541704
20.195,2707.501824
20.245,2708.4649920000006
20.295,2708.9435280000002
20.345,2709.9036480000004
20.395,2710.385232
20.445,2711.3453520000003
20.495,2711.826936
20.545,2712.30852
20.595,2712.790104
20.645,2713.750224
20.695,2714.231808
20.745,2714.7133920000006
20.795,2715.194976
20.845,2715.6735120000003
20.895,2716.1550960000004
20.945,2716.63668
20.995,2717.118264
21.045,2717.5968000000003
21.095,2718.078384
21.145,2718.559968
21.195,2718.559968
21.245,2719.0446
21.295,2719.0446
21.345,2719.5261840000003
21.395,2719.5261840000003
21.445,2718.559968
21.495,2720.00472
21.545,2721.449472
21.595,2722.4095920000004
21.645,2722.8942239999997
21.695,2724.3359280000004
21.745,2724.8205600000006
21.795,2724.8205600000006
21.845,2725.7806800000003
21.895,2726.743848
21.945,2728.1886
21.995,2729.6333520000003
22.045,2730.599568
22.095,2730.599568
22.145,2730.599568
