sim_id,motor_id,wind_profile_id,wind_station,wind_datetime_utc,heading_deg,inclination_deg,rail_length_m,pad_lat_deg,pad_lon_deg
SIM_001_517I255-16A-16_USI0000KRPD_20030812T070000Z,517I255-16A-16,USI0000KRPD_20030812T070000Z,USI0000KRPD,2003-08-12T07:00:00Z,168.85386718292682,90.0,1.0,34.494996,-116.957763
SIM_002_HP-I140W-14_USI0000KRPD_20030819T070000Z,HP-I140W-14,USI0000KRPD_20030819T070000Z,USI0000KRPD,2003-08-19T07:00:00Z,21.427072683050085,90.0,1.0,34.494996,-116.957763
SIM_003_517I255-16A-16_USI0000KRPD_20030816T080000Z,517I255-16A-16,USI0000KRPD_20030816T080000Z,USI0000KRPD,2003-08-16T08:00:00Z,3.245591760430905,90.0,1.0,34.494996,-116.957763
SIM_004_1013J453-16A-16_USI0000KRPD_20030818T050000Z,1013J453-16A-16,USI0000KRPD_20030818T050000Z,USI0000KRPD,2003-08-18T05:00:00Z,58.36929791401316,90.0,1.0,34.494996,-116.957763
SIM_005_1013J453-16A-16_USI0000KRPD_20030819T180000Z,1013J453-16A-16,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,45.319889607137696,90.0,1.0,34.494996,-116.957763
SIM_006_HP-I140W-14_USI0000KRPD_20030816T080000Z,HP-I140W-14,USI0000KRPD_20030816T080000Z,USI0000KRPD,2003-08-16T08:00:00Z,3.865437287048202,90.0,1.0,34.494996,-116.957763
SIM_007_1115J530-15A_USI0000KRPD_20030822T110000Z,1115J530-15A,USI0000KRPD_20030822T110000Z,USI0000KRPD,2003-08-22T11:00:00Z,33.801824331108264,90.0,1.0,34.494996,-116.957763
SIM_008_1115J530-15A_USI0000KRPD_20030822T050000Z,1115J530-15A,USI0000KRPD_20030822T050000Z,USI0000KRPD,2003-08-22T05:00:00Z,25.205068472749737,90.0,1.0,34.494996,-116.957763
SIM_009_1013J453-16A-16_USI0000KRPD_20030812T070000Z,1013J453-16A-16,USI0000KRPD_20030812T070000Z,USI0000KRPD,2003-08-12T07:00:00Z,175.70095519246954,90.0,1.0,34.494996,-116.957763
SIM_010_517I255-16A-16_USI0000KRPD_20030818T050000Z,517I255-16A-16,USI0000KRPD_20030818T050000Z,USI0000KRPD,2003-08-18T05:00:00Z,52.50531658547264,90.0,1.0,34.494996,-116.957763
SIM_011_HP-I140W-14_USI0000KRPD_20030813T070000Z,HP-I140W-14,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,222.2379416962829,90.0,1.0,34.494996,-116.957763
SIM_012_1013J453-16A-16_USI0000KRPD_20030813T070000Z,1013J453-16A-16,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,226.56126556807797,90.0,1.0,34.494996,-116.957763
SIM_013_1115J530-15A_USI0000KRPD_20030814T070000Z,1115J530-15A,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,116.66270274578197,90.0,1.0,34.494996,-116.957763
SIM_014_1013J453-16A-16_USI0000KRPD_20030816T080000Z,1013J453-16A-16,USI0000KRPD_20030816T080000Z,USI0000KRPD,2003-08-16T08:00:00Z,16.605571527064498,90.0,1.0,34.494996,-116.957763
SIM_015_1115J530-15A_USI0000KRPD_20030816T080000Z,1115J530-15A,USI0000KRPD_20030816T080000Z,USI0000KRPD,2003-08-16T08:00:00Z,16.072850923310405,90.0,1.0,34.494996,-116.957763
SIM_016_1013J453-16A-16_USI0000KRPD_20030822T110000Z,1013J453-16A-16,USI0000KRPD_20030822T110000Z,USI0000KRPD,2003-08-22T11:00:00Z,18.25968548522399,90.0,1.0,34.494996,-116.957763
SIM_017_1115J530-15A_USI0000KRPD_20030818T050000Z,1115J530-15A,USI0000KRPD_20030818T050000Z,USI0000KRPD,2003-08-18T05:00:00Z,58.340379382299,90.0,1.0,34.494996,-116.957763
SIM_018_HP-I140W-14_USI0000KRPD_20030822T110000Z,HP-I140W-14,USI0000KRPD_20030822T110000Z,USI0000KRPD,2003-08-22T11:00:00Z,21.43407792428373,90.0,1.0,34.494996,-116.957763
SIM_019_HP-I140W-14_USI0000KRPD_20030818T050000Z,HP-I140W-14,USI0000KRPD_20030818T050000Z,USI0000KRPD,2003-08-18T05:00:00Z,56.06690108292405,90.0,1.0,34.494996,-116.957763
SIM_020_1013J453-16A-16_USI0000KRPD_20030817T170000Z,1013J453-16A-16,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,26.84988787817649,90.0,1.0,34.494996,-116.957763
SIM_021_517I255-16A-16_USI0000KRPD_20030814T070000Z,517I255-16A-16,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,120.85979915380024,90.0,1.0,34.494996,-116.957763
SIM_022_HP-I140W-14_USI0000KRPD_20030822T050000Z,HP-I140W-14,USI0000KRPD_20030822T050000Z,USI0000KRPD,2003-08-22T05:00:00Z,12.824319076604517,90.0,1.0,34.494996,-116.957763
SIM_023_HP-I140W-14_USI0000KRPD_20030812T070000Z,HP-I140W-14,USI0000KRPD_20030812T070000Z,USI0000KRPD,2003-08-12T07:00:00Z,179.86443107128957,90.0,1.0,34.494996,-116.957763
SIM_024_1013J453-16A-16_USI0000KRPD_20030822T050000Z,1013J453-16A-16,USI0000KRPD_20030822T050000Z,USI0000KRPD,2003-08-22T05:00:00Z,28.50174574672291,90.0,1.0,34.494996,-116.957763
SIM_025_1013J453-16A-16_USI0000KRPD_20030814T070000Z,1013J453-16A-16,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,129.9594326217225,90.0,1.0,34.494996,-116.957763
SIM_026_517I255-16A-16_USI0000KRPD_20030813T070000Z,517I255-16A-16,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,219.7857356233981,90.0,1.0,34.494996,-116.957763
SIM_027_517I255-16A-16_USI0000KRPD_20030822T110000Z,517I255-16A-16,USI0000KRPD_20030822T110000Z,USI0000KRPD,2003-08-22T11:00:00Z,23.02893584240485,90.0,1.0,34.494996,-116.957763
SIM_028_1115J530-15A_USI0000KRPD_20030813T070000Z,1115J530-15A,USI0000KRPD_20030813T070000Z,USI0000KRPD,2003-08-13T07:00:00Z,215.8218134502413,90.0,1.0,34.494996,-116.957763
SIM_029_517I255-16A-16_USI0000KRPD_20030819T180000Z,517I255-16A-16,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,29.496214292562144,90.0,1.0,34.494996,-116.957763
SIM_030_1115J530-15A_USI0000KRPD_20030817T170000Z,1115J530-15A,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,30.655010255346724,90.0,1.0,34.494996,-116.957763
SIM_031_HP-I140W-14_USI0000KRPD_20030814T070000Z,HP-I140W-14,USI0000KRPD_20030814T070000Z,USI0000KRPD,2003-08-14T07:00:00Z,128.44499461953097,90.0,1.0,34.494996,-116.957763
SIM_032_1115J530-15A_USI0000KRPD_20030819T180000Z,1115J530-15A,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,31.064037049388666,90.0,1.0,34.494996,-116.957763
SIM_033_HP-I140W-14_USI0000KRPD_20030817T170000Z,HP-I140W-14,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,39.98854222941185,90.0,1.0,34.494996,-116.957763
SIM_034_1013J453-16A-16_USI0000KRPD_20030819T070000Z,1013J453-16A-16,USI0000KRPD_20030819T070000Z,USI0000KRPD,2003-08-19T07:00:00Z,21.944602129998366,90.0,1.0,34.494996,-116.957763
SIM_035_HP-I140W-14_USI0000KRPD_20030819T180000Z,HP-I140W-14,USI0000KRPD_20030819T180000Z,USI0000KRPD,2003-08-19T18:00:00Z,32.75314528420404,90.0,1.0,34.494996,-116.957763
SIM_036_517I255-16A-16_USI0000KRPD_20030822T050000Z,517I255-16A-16,USI0000KRPD_20030822T050000Z,USI0000KRPD,2003-08-22T05:00:00Z,12.83264189903242,90.0,1.0,34.494996,-116.957763
SIM_037_517I255-16A-16_USI0000KRPD_20030817T170000Z,517I255-16A-16,USI0000KRPD_20030817T170000Z,USI0000KRPD,2003-08-17T17:00:00Z,39.95870038642006,90.0,1.0,34.494996,-116.957763
SIM_038_1115J530-15A_USI0000KRPD_20030812T070000Z,1115J530-15A,USI0000KRPD_20030812T070000Z,USI0000KRPD,2003-08-12T07:00:00Z,166.34093695516154,90.0,1.0,34.494996,-116.957763
SIM_039_1115J530-15A_USI0000KRPD_20030819T070000Z,1115J530-15A,USI0000KRPD_20030819T070000Z,USI0000KRPD,2003-08-19T07:00:00Z,15.842143102039323,90.0,1.0,34.494996,-116.957763
SIM_040_517I255-16A-16_USI0000KRPD_20030819T070000Z,517I255-16A-16,USI0000KRPD_20030819T070000Z,USI0000KRPD,2003-08-19T07:00:00Z,14.677374450771707,90.0,1.0,34.494996,-116.957763
